Entity,Code,Year,‘cost of basic needs’ approach - number above poverty line,525240-annotations,‘cost of basic needs’ approach - number below poverty line,525235-annotations
Middle East and North Africa,,1824,10853622,,31179377,
Middle East and North Africa,,1825,10972126,,31296874,
Middle East and North Africa,,1826,11090024,,31411976,
Middle East and North Africa,,1827,11209831,,31528169,
Middle East and North Africa,,1828,11330401,,31642599,
Middle East and North Africa,,1829,11450479,,31754521,
Middle East and North Africa,,1830,11571886,,31868114,
Middle East and North Africa,,1831,11694943,,31980057,
Middle East and North Africa,,1832,11818903,,32092097,
Middle East and North Africa,,1833,11943202,,32202797,
Middle East and North Africa,,1834,12067877,,32311123,
Middle East and North Africa,,1835,12194184,,32419817,
Middle East and North Africa,,1836,12322239,,32528762,
Middle East and North Africa,,1837,12450248,,32636752,
Middle East and North Africa,,1838,12578309,,32742691,
Middle East and North Africa,,1839,12708010,,32847991,
Middle East and North Africa,,1840,12838616,,32953385,
Middle East and North Africa,,1841,12969534,,33057466,
Middle East and North Africa,,1842,13100826,,33159174,
Middle East and North Africa,,1843,13233920,,33262081,
Middle East and North Africa,,1844,13367768,,33363232,
Middle East and North Africa,,1845,13500905,,33464096,
Middle East and North Africa,,1846,13635801,,33563199,
Middle East and North Africa,,1847,13772137,,33661862,
Middle East and North Africa,,1848,13909348,,33761652,
Middle East and North Africa,,1849,14046132,,33856868,
Middle East and North Africa,,1850,14184814,,33953186,
Middle East and North Africa,,1851,14324545,,34049455,
Middle East and North Africa,,1852,14464992,,34145008,
Middle East and North Africa,,1853,14605153,,34237847,
Middle East and North Africa,,1854,14747591,,34331409,
Middle East and North Africa,,1855,14890095,,34421905,
Middle East and North Africa,,1856,15034886,,34516113,
Middle East and North Africa,,1857,15178269,,34604731,
Middle East and North Africa,,1858,15323575,,34694425,
Middle East and North Africa,,1859,15469907,,34785092,
Middle East and North Africa,,1860,15617023,,34872977,
Middle East and North Africa,,1861,15764095,,34959906,
Middle East and North Africa,,1862,15911745,,35045255,
Middle East and North Africa,,1863,16061309,,35131691,
Middle East and North Africa,,1864,16211822,,35217177,
Middle East and North Africa,,1865,16363107,,35300894,
Middle East and North Africa,,1866,16514545,,35382455,
Middle East and North Africa,,1867,16667510,,35466490,
Middle East and North Africa,,1868,16821256,,35547743,
Middle East and North Africa,,1869,16974937,,35628063,
Middle East and North Africa,,1870,17130303,,35708698,
Middle East and North Africa,,1871,17414969,,35857032,
Middle East and North Africa,,1872,17703481,,36002519,
Middle East and North Africa,,1873,17992759,,36146241,
Middle East and North Africa,,1874,18284511,,36287488,
Middle East and North Africa,,1875,18578912,,36427088,
Middle East and North Africa,,1876,18874673,,36562327,
Middle East and North Africa,,1877,19173854,,36698147,
Middle East and North Africa,,1878,19475789,,36831211,
Middle East and North Africa,,1879,19778597,,36959403,
Middle East and North Africa,,1880,20085064,,37087936,
Middle East and North Africa,,1881,20393849,,37213151,
Middle East and North Africa,,1882,20704194,,37336806,
Middle East and North Africa,,1883,21016232,,37457768,
Middle East and North Africa,,1884,21332097,,37574902,
Middle East and North Africa,,1885,21649731,,37693269,
Middle East and North Africa,,1886,21969386,,37805614,
Middle East and North Africa,,1887,22290538,,37916462,
Middle East and North Africa,,1888,22614977,,38025023,
Middle East and North Africa,,1889,22941476,,38133524,
Middle East and North Africa,,1890,23271530,,38238470,
Middle East and North Africa,,1891,23601671,,38339330,
Middle East and North Africa,,1892,23935666,,38439334,
Middle East and North Africa,,1893,24271427,,38537573,
Middle East and North Africa,,1894,24610728,,38633271,
Middle East and North Africa,,1895,24950738,,38726262,
Middle East and North Africa,,1896,25293608,,38817393,
Middle East and North Africa,,1897,25638167,,38905833,
Middle East and North Africa,,1898,25985491,,38990509,
Middle East and North Africa,,1899,26334437,,39074563,
Middle East and North Africa,,1900,26687166,,39155833,
Middle East and North Africa,,1901,27041821,,39236179,
Middle East and North Africa,,1902,27398361,,39312639,
Middle East and North Africa,,1903,27757518,,39386482,
Middle East and North Africa,,1904,28119873,,39461127,
Middle East and North Africa,,1905,28482533,,39529467,
Middle East and North Africa,,1906,28849152,,39596849,
Middle East and North Africa,,1907,29216510,,39663490,
Middle East and North Africa,,1908,29586390,,39725610,
Middle East and North Africa,,1909,29959959,,39787041,
Middle East and North Africa,,1910,30334762,,39844237,
Middle East and North Africa,,1911,30711181,,39900819,
Middle East and North Africa,,1912,31064249,,39942750,
Middle East and North Africa,,1913,31445078,,39954921,
Middle East and North Africa,,1914,31692267,,40335733,
Middle East and North Africa,,1915,31957776,,40701225,
Middle East and North Africa,,1916,32237586,,41049414,
Middle East and North Africa,,1917,32535667,,41379334,
Middle East and North Africa,,1918,32861538,,41696461,
Middle East and North Africa,,1919,33663476,,41534524,
Middle East and North Africa,,1920,34473316,,41365684,
Middle East and North Africa,,1921,35292819,,41190180,
Middle East and North Africa,,1922,36116993,,41005006,
Middle East and North Africa,,1923,36950802,,40813199,
Middle East and North Africa,,1924,38165902,,40443098,
Middle East and North Africa,,1925,39738299,,39714701,
Middle East and North Africa,,1926,41510569,,38788431,
Middle East and North Africa,,1927,41675178,,39477821,
Middle East and North Africa,,1928,42624087,,39539913,
Middle East and North Africa,,1929,45497694,,37679305,
Middle East and North Africa,,1930,44814457,,39374542,
Middle East and North Africa,,1931,45340602,,40226398,
Middle East and North Africa,,1932,45858079,,40741922,
Middle East and North Africa,,1933,46596289,,41041710,
Middle East and North Africa,,1934,48087356,,40588645,
Middle East and North Africa,,1935,49295348,,40424653,
Middle East and North Africa,,1936,51567417,,39222583,
Middle East and North Africa,,1937,52844889,,38983110,
Middle East and North Africa,,1938,54035828,,38957172,
Middle East and North Africa,,1939,54785399,,39581602,
Middle East and North Africa,,1940,57348970,,38197029,
Middle East and North Africa,,1941,58079931,,38529070,
Middle East and North Africa,,1942,58541860,,39133139,
Middle East and North Africa,,1943,63766499,,34978502,
Middle East and North Africa,,1944,60406205,,39407794,
Middle East and North Africa,,1945,59773712,,41110287,
Middle East and North Africa,,1946,63545388,,38659611,
Middle East and North Africa,,1947,65606642,,38053359,
Middle East and North Africa,,1948,69456700,,36827301,
Middle East and North Africa,,1949,70198223,,38910776,
Middle East and North Africa,,1950,75079714,,37247317,
Middle East and North Africa,,1951,73353176,,41949110,
Middle East and North Africa,,1952,75535281,,42779209,
Middle East and North Africa,,1953,80216037,,41103596,
Middle East and North Africa,,1954,81083581,,43178149,
Middle East and North Africa,,1955,83085212,,44406571,
Middle East and North Africa,,1956,85718367,,45134459,
Middle East and North Africa,,1957,86359257,,48013624,
Middle East and North Africa,,1958,90185911,,47839067,
Middle East and North Africa,,1959,95139219,,46648926,
Middle East and North Africa,,1960,96054253,,49593166,
Middle East and North Africa,,1961,95789598,,53732210,
Middle East and North Africa,,1962,99932547,,53167761,
Middle East and North Africa,,1963,104735392,,52390498,
Middle East and North Africa,,1964,105535398,,55828080,
Middle East and North Africa,,1965,106642406,,59047672,
Middle East and North Africa,,1966,112729670,,57356960,
Middle East and North Africa,,1967,117299433,,57275740,
Middle East and North Africa,,1968,120381422,,58631272,
Middle East and North Africa,,1969,129740746,,53889419,
Middle East and North Africa,,1970,139845586,,48522013,
Middle East and North Africa,,1971,136887154,,56351853,
Middle East and North Africa,,1972,148113195,,50199158,
Middle East and North Africa,,1973,155168763,,48596896,
Middle East and North Africa,,1974,170828279,,38515609,
Middle East and North Africa,,1975,172280073,,42854988,
Middle East and North Africa,,1976,180629151,,40518026,
Middle East and North Africa,,1977,191060335,,36578894,
Middle East and North Africa,,1978,195515515,,39128709,
Middle East and North Africa,,1979,207330315,,34751855,
Middle East and North Africa,,1980,207277116,,42755951,
Middle East and North Africa,,1981,216220724,,42317176,
Middle East and North Africa,,1982,224852724,,42208972,
Middle East and North Africa,,1983,233299197,,43247284,
Middle East and North Africa,,1984,242244220,,43509065,
Middle East and North Africa,,1985,250539376,,44391776,
Middle East and North Africa,,1986,265848729,,38112363,
Middle East and North Africa,,1987,285544459,,26467656,
Middle East and North Africa,,1988,294718616,,25320546,
Middle East and North Africa,,1989,302054020,,26270163,
Middle East and North Africa,,1990,315159239,,22460914,
Middle East and North Africa,,1991,327844513,,17809510,
Middle East and North Africa,,1992,334810589,,19467257,
Middle East and North Africa,,1993,344798574,,17136102,
Middle East and North Africa,,1994,348289042,,20444565,
Middle East and North Africa,,1995,358303880,,17520809,
Middle East and North Africa,,1996,368868408,,14149553,
Middle East and North Africa,,1997,376721547,,14026862,
Middle East and North Africa,,1998,384216894,,14260053,
Middle East and North Africa,,1999,395484849,,10702688,
Middle East and North Africa,,2000,403474427,,10458656,
Middle East and North Africa,,2001,410718982,,11099632,
Middle East and North Africa,,2002,418725385,,10984700,
Middle East and North Africa,,2003,424552237,,12937324,
Middle East and North Africa,,2004,436450539,,9043380,
Middle East and North Africa,,2005,445118222,,8719982,
Middle East and North Africa,,2006,454951682,,7250755,
Middle East and North Africa,,2007,463782360,,6949189,
Middle East and North Africa,,2008,473173669,,6318867,
Middle East and North Africa,,2009,483008066,,5324524,
Middle East and North Africa,,2010,491781491,,5281069,
Middle East and North Africa,,2011,500229930,,5069700,
Middle East and North Africa,,2012,508762962,,4938658,
Middle East and North Africa,,2013,517647388,,4347253,
Middle East and North Africa,,2014,525127532,,3789133,
Middle East and North Africa,,2015,532030801,,4641990,
Middle East and North Africa,,2016,544271045,,3229740,
Middle East and North Africa,,2017,559309656,,3543462,
Middle East and North Africa,,2018,568828340,,3859593,
South and South-East Asia,,1820,79722390,,175353610,
South and South-East Asia,,1821,80125014,,176190985,
South and South-East Asia,,1822,80570341,,176987658,
South and South-East Asia,,1823,81021777,,177786223,
South and South-East Asia,,1824,81395570,,178662431,
South and South-East Asia,,1825,81890672,,179426328,
South and South-East Asia,,1826,82437791,,180140209,
South and South-East Asia,,1827,82907734,,180939266,
South and South-East Asia,,1828,83337239,,181783761,
South and South-East Asia,,1829,83753040,,182641960,
South and South-East Asia,,1830,84195736,,183481264,
South and South-East Asia,,1831,84638960,,184325039,
South and South-East Asia,,1832,84987347,,185264653,
South and South-East Asia,,1833,85392312,,186157687,
South and South-East Asia,,1834,85794866,,187058134,
South and South-East Asia,,1835,86092004,,188065997,
South and South-East Asia,,1836,86413142,,189054858,
South and South-East Asia,,1837,86845878,,189939122,
South and South-East Asia,,1838,87196443,,190912557,
South and South-East Asia,,1839,87519847,,191910153,
South and South-East Asia,,1840,87956923,,192806076,
South and South-East Asia,,1841,88304058,,193793943,
South and South-East Asia,,1842,88711459,,194727541,
South and South-East Asia,,1843,89081811,,195704189,
South and South-East Asia,,1844,89437446,,196701554,
South and South-East Asia,,1845,89756986,,197742015,
South and South-East Asia,,1846,90125874,,198733126,
South and South-East Asia,,1847,90520721,,199706278,
South and South-East Asia,,1848,90980175,,200618824,
South and South-East Asia,,1849,91349540,,201628460,
South and South-East Asia,,1850,91730939,,202629062,
South and South-East Asia,,1851,92168554,,203575446,
South and South-East Asia,,1852,91802555,,205327445,
South and South-East Asia,,1853,91518421,,207007579,
South and South-East Asia,,1854,91140104,,208785897,
South and South-East Asia,,1855,90862567,,210470433,
South and South-East Asia,,1856,90613763,,212131238,
South and South-East Asia,,1857,90213983,,213951017,
South and South-East Asia,,1858,89962080,,215627920,
South and South-East Asia,,1859,89616155,,217405844,
South and South-East Asia,,1860,89271418,,219189582,
South and South-East Asia,,1861,88925543,,220977457,
South and South-East Asia,,1862,88481728,,222874271,
South and South-East Asia,,1863,88141451,,224670549,
South and South-East Asia,,1864,87773485,,226504514,
South and South-East Asia,,1865,87456029,,228290971,
South and South-East Asia,,1866,87126863,,230097137,
South and South-East Asia,,1867,86817237,,231891762,
South and South-East Asia,,1868,86397000,,233803000,
South and South-East Asia,,1869,86004102,,235692898,
South and South-East Asia,,1870,85676087,,241347912,
South and South-East Asia,,1871,86488667,,241721333,
South and South-East Asia,,1872,87324706,,242059294,
South and South-East Asia,,1873,88129887,,242439113,
South and South-East Asia,,1874,88930133,,242828867,
South and South-East Asia,,1875,89853724,,243097277,
South and South-East Asia,,1876,90698709,,243452291,
South and South-East Asia,,1877,91587532,,243768468,
South and South-East Asia,,1878,92423968,,244142032,
South and South-East Asia,,1879,93332487,,244451513,
South and South-East Asia,,1880,94875483,,244131517,
South and South-East Asia,,1881,96601237,,245372762,
South and South-East Asia,,1882,98057936,,247675064,
South and South-East Asia,,1883,99562776,,249658223,
South and South-East Asia,,1884,101470892,,251268109,
South and South-East Asia,,1885,107512633,,248755367,
South and South-East Asia,,1886,103007632,,256812368,
South and South-East Asia,,1887,112109745,,251292255,
South and South-East Asia,,1888,114751944,,252270056,
South and South-East Asia,,1889,110820074,,259854926,
South and South-East Asia,,1890,120547910,,253792089,
South and South-East Asia,,1891,102899312,,273030687,
South and South-East Asia,,1892,117611476,,260081524,
South and South-East Asia,,1893,122841285,,256612715,
South and South-East Asia,,1894,125958934,,255270066,
South and South-East Asia,,1895,121500905,,261491094,
South and South-East Asia,,1896,107074963,,277725037,
South and South-East Asia,,1897,140201460,,246403540,
South and South-East Asia,,1898,140887025,,247536975,
South and South-East Asia,,1899,125267944,,264972057,
South and South-East Asia,,1900,132509364,,259540636,
South and South-East Asia,,1901,146529683,,277454317,
South and South-East Asia,,1902,163830096,,263493904,
South and South-East Asia,,1903,167811721,,262812279,
South and South-East Asia,,1904,167984574,,266050427,
South and South-East Asia,,1905,163627272,,273907727,
South and South-East Asia,,1906,170045695,,270893306,
South and South-East Asia,,1907,155735108,,288558892,
South and South-East Asia,,1908,159107082,,288603918,
South and South-East Asia,,1909,189915249,,261242750,
South and South-East Asia,,1910,191470911,,262970090,
South and South-East Asia,,1911,190928415,,266242584,
South and South-East Asia,,1912,191456121,,267520879,
South and South-East Asia,,1913,187573832,,273204168,
South and South-East Asia,,1914,201025662,,261571338,
South and South-East Asia,,1915,195168917,,269211083,
South and South-East Asia,,1916,203927434,,262349565,
South and South-East Asia,,1917,200373645,,267815355,
South and South-East Asia,,1918,167932656,,301710344,
South and South-East Asia,,1919,200436375,,270957625,
South and South-East Asia,,1920,179963987,,293503013,
South and South-East Asia,,1921,197033597,,279879403,
South and South-East Asia,,1922,208127006,,273762995,
South and South-East Asia,,1923,198982325,,288029674,
South and South-East Asia,,1924,212016846,,279999153,
South and South-East Asia,,1925,215034621,,282145378,
South and South-East Asia,,1926,224154883,,278307117,
South and South-East Asia,,1927,224829469,,282908531,
South and South-East Asia,,1928,228014099,,285270900,
South and South-East Asia,,1929,239339254,,279536746,
South and South-East Asia,,1930,240380820,,284070181,
South and South-East Asia,,1931,236014079,,295569921,
South and South-East Asia,,1932,237244551,,302219449,
South and South-East Asia,,1933,236030956,,311334044,
South and South-East Asia,,1934,237745468,,317669532,
South and South-East Asia,,1935,233250484,,330387516,
South and South-East Asia,,1936,244325646,,327711354,
South and South-East Asia,,1937,240013752,,340607247,
South and South-East Asia,,1938,238808338,,350393662,
South and South-East Asia,,1939,243849436,,354026563,
South and South-East Asia,,1940,252609733,,354067268,
South and South-East Asia,,1941,256145163,,358584838,
South and South-East Asia,,1942,251767187,,370296814,
South and South-East Asia,,1943,259447157,,370189843,
South and South-East Asia,,1944,252450709,,384060291,
South and South-East Asia,,1945,243787567,,399641433,
South and South-East Asia,,1946,224092870,,427074129,
South and South-East Asia,,1947,195328816,,389908184,
South and South-East Asia,,1948,197364589,,395402411,
South and South-East Asia,,1949,202363382,,399252618,
South and South-East Asia,,1950,217096948,,437198260,
South and South-East Asia,,1951,223551562,,442164343,
South and South-East Asia,,1952,205190480,,473334575,
South and South-East Asia,,1953,202574103,,489011142,
South and South-East Asia,,1954,210256878,,494748149,
South and South-East Asia,,1955,232553102,,486138000,
South and South-East Asia,,1956,241223018,,492287022,
South and South-East Asia,,1957,243710274,,504893342,
South and South-East Asia,,1958,244859922,,520236630,
South and South-East Asia,,1959,259535257,,521415361,
South and South-East Asia,,1960,248035836,,548999748,
South and South-East Asia,,1961,295276659,,520248611,
South and South-East Asia,,1962,273152190,,561404385,
South and South-East Asia,,1963,343276736,,510819609,
South and South-East Asia,,1964,297739263,,575897252,
South and South-East Asia,,1965,292406454,,601698523,
South and South-East Asia,,1966,293190552,,620816921,
South and South-East Asia,,1967,332978771,,602123117,
South and South-East Asia,,1968,327629517,,629717288,
South and South-East Asia,,1969,343285085,,635488941,
South and South-East Asia,,1970,357417202,,644395822,
South and South-East Asia,,1971,368863655,,657046835,
South and South-East Asia,,1972,375378066,,674853834,
South and South-East Asia,,1973,399472394,,675549722,
South and South-East Asia,,1974,406920630,,693319359,
South and South-East Asia,,1975,434182831,,691354815,
South and South-East Asia,,1976,448688077,,701344623,
South and South-East Asia,,1977,448747418,,727789985,
South and South-East Asia,,1978,506958667,,696247994,
South and South-East Asia,,1979,570975049,,661627897,
South and South-East Asia,,1980,635430144,,625877867,
South and South-East Asia,,1981,669898410,,617421938,
South and South-East Asia,,1982,634965696,,681284609,
South and South-East Asia,,1983,646440100,,698450281,
South and South-East Asia,,1984,700546524,,674217934,
South and South-East Asia,,1985,757466149,,647562734,
South and South-East Asia,,1986,737071374,,698029209,
South and South-East Asia,,1987,726777617,,739716983,
South and South-East Asia,,1988,716590406,,781662349,
South and South-East Asia,,1989,753883839,,776714897,
South and South-East Asia,,1990,820711366,,741833410,
South and South-East Asia,,1991,821798865,,769712970,
South and South-East Asia,,1992,817459900,,804389678,
South and South-East Asia,,1993,891852361,,761569892,
South and South-East Asia,,1994,948817811,,736827500,
South and South-East Asia,,1995,1019306788,,698751198,
South and South-East Asia,,1996,1054367331,,696453461,
South and South-East Asia,,1997,1113749337,,669726412,
South and South-East Asia,,1998,985683267,,830361831,
South and South-East Asia,,1999,1141718745,,707085076,
South and South-East Asia,,2000,1220448466,,661582741,
South and South-East Asia,,2001,1295429130,,619945572,
South and South-East Asia,,2002,1336210305,,612480692,
South and South-East Asia,,2003,1357316418,,624536981,
South and South-East Asia,,2004,1412355251,,591830806,
South and South-East Asia,,2005,1509314082,,537612933,
South and South-East Asia,,2006,1539534088,,540042352,
South and South-East Asia,,2007,1588519584,,523096637,
South and South-East Asia,,2008,1606117269,,537295560,
South and South-East Asia,,2009,1668191731,,505690768,
South and South-East Asia,,2010,1706573354,,497394219,
South and South-East Asia,,2011,1785482062,,448385739,
South and South-East Asia,,2012,1790009781,,473637164,
South and South-East Asia,,2013,1887209404,,406137445,
South and South-East Asia,,2014,1965030485,,357713955,
South and South-East Asia,,2015,2018561145,,333322397,
South and South-East Asia,,2016,2070317346,,307998556,
South and South-East Asia,,2017,2168226570,,282751903,
South and South-East Asia,,2018,2227738649,,251716240,
Sub-Saharan Africa,,1820,977863,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10094848,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1821,1742457,Several countries added to the Sub-Saharan Africa data from 1950 onwards,9558038,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1822,1438284,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10088303,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1823,1507187,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10247183,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1824,1577577,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10403575,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1825,1649570,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10558366,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1826,1723204,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10711823,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1827,1778044,Several countries added to the Sub-Saharan Africa data from 1950 onwards,10883766,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1828,1833887,Several countries added to the Sub-Saharan Africa data from 1950 onwards,11055706,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1829,1890279,Several countries added to the Sub-Saharan Africa data from 1950 onwards,11225097,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1830,1657871,Several countries added to the Sub-Saharan Africa data from 1950 onwards,11685597,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1831,1416356,Several countries added to the Sub-Saharan Africa data from 1950 onwards,12154895,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1832,1406237,Several countries added to the Sub-Saharan Africa data from 1950 onwards,12391797,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1833,1395056,Several countries added to the Sub-Saharan Africa data from 1950 onwards,12630070,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1834,1382756,Several countries added to the Sub-Saharan Africa data from 1950 onwards,12869153,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1835,1369450,Several countries added to the Sub-Saharan Africa data from 1950 onwards,13110241,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1836,1354884,Several countries added to the Sub-Saharan Africa data from 1950 onwards,13350590,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1837,1339338,Several countries added to the Sub-Saharan Africa data from 1950 onwards,13593228,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1838,1322754,Several countries added to the Sub-Saharan Africa data from 1950 onwards,13837596,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1839,1304998,Several countries added to the Sub-Saharan Africa data from 1950 onwards,14082134,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1840,1286153,Several countries added to the Sub-Saharan Africa data from 1950 onwards,14327763,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1841,1181617,Several countries added to the Sub-Saharan Africa data from 1950 onwards,14660390,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1842,1073463,Several countries added to the Sub-Saharan Africa data from 1950 onwards,14995326,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1843,961787,Several countries added to the Sub-Saharan Africa data from 1950 onwards,15333786,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1844,807349,Several countries added to the Sub-Saharan Africa data from 1950 onwards,15715007,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1845,648255,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16101192,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1846,484608,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16491623,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1847,316357,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16886657,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1848,476673,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16954433,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1849,641066,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17016822,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1850,809549,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17075122,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1851,1820115,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16291340,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1852,2183072,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16156474,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1853,2765447,Several countries added to the Sub-Saharan Africa data from 1950 onwards,15801882,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1854,2567382,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16225730,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1855,3202401,Several countries added to the Sub-Saharan Africa data from 1950 onwards,15818495,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1856,1556552,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17690434,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1857,2857376,Several countries added to the Sub-Saharan Africa data from 1950 onwards,16616394,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1858,1836280,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17865273,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1859,2092307,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17836337,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1860,2395366,Several countries added to the Sub-Saharan Africa data from 1950 onwards,17761062,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1861,1948035,Several countries added to the Sub-Saharan Africa data from 1950 onwards,18435176,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1862,173158,Several countries added to the Sub-Saharan Africa data from 1950 onwards,20436835,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1863,210349,Several countries added to the Sub-Saharan Africa data from 1950 onwards,20627736,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1864,2430556,Several countries added to the Sub-Saharan Africa data from 1950 onwards,18634312,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1865,230573,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21060078,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1866,257778,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21259657,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1867,403806,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21341720,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1868,503316,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21468993,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1869,400414,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21798678,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1870,1692150,Several countries added to the Sub-Saharan Africa data from 1950 onwards,22314033,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1871,1752573,Several countries added to the Sub-Saharan Africa data from 1950 onwards,22555393,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1872,5599268,Several countries added to the Sub-Saharan Africa data from 1950 onwards,19010481,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1873,4063478,Several countries added to the Sub-Saharan Africa data from 1950 onwards,20848055,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1874,3644279,Several countries added to the Sub-Saharan Africa data from 1950 onwards,21568344,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1875,4918946,Several countries added to the Sub-Saharan Africa data from 1950 onwards,20595461,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1876,6374324,Several countries added to the Sub-Saharan Africa data from 1950 onwards,19440866,Several countries added to the Sub-Saharan Africa data from 1950 onwards
Sub-Saharan Africa,,1877,5761943,Several countries added to the Sub-Saharan Africa data from 1950 onwards,20356030,Several countries added to the Sub-Saharan Africa data from 1950 onwards
